district,N,P,K,OC,pH,EC,S,Fe,Zn,Cu,B,Mn,temperature,humidity,crop,Soil_Type,Yield_tons_per_hectare
Ariyalur,4,2,10,6,7.35,5,99,100,100,98,91,100,34,60,Maize,Loamy,1.3
Ariyalur,0,9,0,8,7.9,0,91,100,90,100,100,100,31,61,Sugarcane,Clay,25.57
Ariyalur,5,4,0,3,8.34,5,96,100,100,89,94,100,34,71,Mango,Sandy,3.08
Ariyalur,8,0,0,1,7.69,8,89,100,100,94,94,90,31,56,Rice,Red Soil,2.07
Ariyalur,0,4,0,4,8.43,0,96,90,93,98,100,99,26,77,Millet,Black Soil,0.5
Ariyalur,0,0,2,10,8.41,0,96,89,93,100,100,100,31,46,Guava,Alluvial Soil,3.56
Ariyalur,0,9,0,0,7.35,7,100,100,99,100,100,89,28,77,Coconut,Laterite Soil,1.98
Ariyalur,1,0,5,0,7.71,3,96,99,100,100,100,100,27,45,Mango,Peaty Soil,3.02
Ariyalur,8,0,10,0,8.06,2,97,100,97,100,100,92,24,69,Coconut,Loamy,1.78
Ariyalur,5,5,9,0,7.5,4,91,100,99,93,91,100,30,55,Sugarcane,Clay,27.77
Ariyalur,0,0,0,2,7.74,2,94,100,100,89,91,96,29,45,Guava,Sandy,3.65
Ariyalur,0,0,6,0,8.39,0,100,96,100,92,100,100,26,67,Guava,Red Soil,3.4
Ariyalur,3,0,0,0,7.44,0,100,92,100,100,100,89,34,45,Sugarcane,Black Soil,20.87
Ariyalur,9,0,0,5,8.3,3,90,94,93,100,100,90,25,54,Maize,Alluvial Soil,1.19
Ariyalur,0,0,9,10,8.01,5,100,100,90,96,100,100,33,58,Sugarcane,Laterite Soil,25.8
Ariyalur,0,7,0,0,7.49,0,100,97,93,100,100,93,29,47,Coconut,Peaty Soil,2.15
Kanniyakumari,36,39,31,35,7.77,37,76,0,7,14,3,6,24,50,Rice,Loamy,2.14
Kanniyakumari,39,40,38,37,6.96,41,60,2,2,6,0,0,34,80,Mango,Clay,4.47
Kanniyakumari,33,46,50,34,7.58,38,61,10,10,5,0,7,31,51,Guava,Sandy,7.75
Kanniyakumari,35,37,38,43,6.56,47,62,0,4,15,9,0,32,75,Mango,Red Soil,4.97
Kanniyakumari,38,32,49,42,6.76,37,74,8,14,8,0,6,28,77,Rice,Black Soil,2.81
Kanniyakumari,50,36,49,34,7.65,36,62,0,12,1,15,2,34,62,Groundnut,Alluvial Soil,0.9
Kanniyakumari,32,49,41,39,6.7,30,62,5,14,15,4,5,24,48,Rice,Laterite Soil,2.83
Kanniyakumari,43,30,34,31,6.51,50,64,0,15,5,0,9,34,76,Millet,Peaty Soil,0.76
Kanniyakumari,46,41,44,41,7.29,39,61,0,13,4,11,2,24,48,Coconut,Loamy,3.01
Kanniyakumari,46,32,49,39,7.87,45,62,0,2,2,3,3,33,63,Sugarcane,Clay,40.98
Kanniyakumari,33,47,50,39,7.4,38,77,5,5,10,0,11,30,69,Groundnut,Sandy,0.99
Kanniyakumari,40,34,50,39,8.05,31,63,3,0,15,0,6,29,45,Millet,Red Soil,0.99
Kanniyakumari,44,38,45,45,7.22,36,59,4,11,0,0,0,30,63,Rice,Black Soil,3.35
Kanniyakumari,35,33,35,32,8.09,44,69,13,0,0,7,15,35,62,Mango,Alluvial Soil,4.22
Kanniyakumari,44,38,38,50,6.6,40,68,9,0,1,11,2,33,66,Guava,Laterite Soil,7.11
Kanniyakumari,46,31,42,45,7.5,44,60,0,12,0,8,10,29,65,Coconut,Peaty Soil,3.8
Kanniyakumari,45,39,34,34,6.92,35,65,14,14,9,5,0,33,58,Coconut,Loamy,3.83
Kanniyakumari,48,41,45,38,7.09,41,62,5,0,11,0,9,31,49,Coconut,Clay,3.53
Kanniyakumari,32,39,34,33,8.5,43,77,12,0,0,0,4,26,74,Guava,Sandy,5.12
Kanniyakumari,48,48,35,32,7.6,31,62,10,0,14,4,0,27,67,Mango,Red Soil,5.7
Kanniyakumari,31,33,44,41,7.93,44,58,0,6,15,8,0,26,70,Sugarcane,Black Soil,30.5
Kanniyakumari,44,50,30,37,8.12,46,73,7,12,10,8,0,27,65,Sugarcane,Alluvial Soil,36.75
Kanniyakumari,33,40,37,34,7.08,34,76,15,3,3,3,13,29,53,Rice,Laterite Soil,2.91
Kanniyakumari,40,50,39,47,7.9,32,57,3,0,13,0,3,24,45,Maize,Peaty Soil,1.89
Kanniyakumari,33,33,30,36,8.22,35,61,1,0,7,14,6,33,54,Guava,Loamy,4.62
Kanniyakumari,33,32,38,37,7.79,35,67,6,0,10,7,6,25,54,Maize,Clay,1.49
Kanniyakumari,36,32,35,48,8.1,39,68,0,11,5,12,14,26,70,Maize,Sandy,1.43
Kanniyakumari,46,41,49,30,8.29,40,57,0,0,13,15,0,31,56,Groundnut,Red Soil,0.86
Kanniyakumari,45,41,49,30,6.73,37,58,2,0,14,5,14,24,79,Sugarcane,Black Soil,36.97
Kanniyakumari,42,30,30,45,7.12,47,77,15,8,2,14,14,28,78,Groundnut,Alluvial Soil,0.63
Kanniyakumari,41,38,41,30,7.89,46,57,14,0,0,8,0,29,60,Groundnut,Laterite Soil,0.91
Kanniyakumari,32,32,36,48,8.38,38,64,2,0,14,6,2,26,65,Mango,Peaty Soil,4.32
Kanniyakumari,49,37,30,43,7.71,47,59,0,10,3,0,2,31,62,Groundnut,Loamy,0.88
Kanniyakumari,49,42,41,49,8.06,33,74,12,13,14,0,0,24,67,Groundnut,Clay,0.83
Kanniyakumari,45,49,42,33,7.73,35,76,0,7,0,9,2,28,68,Coconut,Sandy,3.63
Kanniyakumari,45,33,49,38,7.49,44,60,10,14,12,9,2,35,72,Mango,Red Soil,5.39
Kanniyakumari,33,30,39,34,7.07,39,76,13,2,15,2,5,34,57,Sugarcane,Black Soil,33.17
Kanniyakumari,38,39,35,37,7.39,48,60,8,3,3,3,5,33,48,Maize,Alluvial Soil,1.9
Kanniyakumari,39,34,43,46,6.99,47,67,10,13,1,0,13,28,70,Maize,Laterite Soil,1.94
Kanniyakumari,41,47,37,36,8.08,50,63,7,1,4,15,0,32,52,Sugarcane,Peaty Soil,43.23
Kanniyakumari,46,34,36,48,8.3,40,64,0,0,4,0,3,31,60,Guava,Loamy,6.27
Kanniyakumari,38,31,41,43,6.8,32,67,0,0,7,11,11,29,64,Millet,Clay,1.11
Kanniyakumari,39,31,36,38,6.69,39,69,15,2,4,0,10,32,67,Sugarcane,Sandy,33.2
Kanniyakumari,50,43,48,32,7.64,42,59,5,0,8,4,14,28,63,Guava,Red Soil,7.56
Kanniyakumari,47,43,37,37,7.86,46,61,7,11,0,14,8,26,58,Sugarcane,Black Soil,37.94
Kanniyakumari,50,40,35,41,7.08,38,64,0,4,0,8,0,27,54,Sugarcane,Alluvial Soil,41.69
Kanniyakumari,36,40,39,34,7.95,36,74,0,0,2,6,13,31,47,Guava,Laterite Soil,6.0
Kanniyakumari,47,38,45,46,6.51,35,62,13,13,2,10,5,33,71,Mango,Peaty Soil,5.66
Kanniyakumari,47,42,48,44,7.32,37,72,15,0,8,3,4,35,73,Mango,Loamy,5.45
Kanniyakumari,42,49,49,48,8.41,43,61,12,2,0,0,15,28,45,Sugarcane,Clay,38.38
Kanniyakumari,45,46,49,33,6.89,30,67,13,9,9,10,4,32,47,Guava,Sandy,8.1
Kanniyakumari,38,42,33,30,6.83,35,69,5,1,15,5,0,25,69,Rice,Red Soil,2.71
Kanniyakumari,33,38,30,42,7.69,41,60,4,0,15,0,6,29,77,Sugarcane,Black Soil,33.46
Kanniyakumari,30,40,48,45,7.96,38,57,4,0,8,7,6,32,55,Rice,Alluvial Soil,2.77
Kanniyakumari,34,43,30,44,7.43,41,74,14,13,12,8,4,31,67,Rice,Laterite Soil,2.89
Kanniyakumari,50,42,32,43,8.2,37,63,7,11,2,0,4,26,73,Rice,Peaty Soil,2.84
Kanniyakumari,38,46,44,32,7.56,36,69,15,9,7,0,14,29,75,Rice,Loamy,2.8
Kanniyakumari,50,36,37,50,8.26,30,63,0,3,0,14,14,26,79,Rice,Clay,2.56
Kanniyakumari,50,41,42,47,8.38,38,74,6,15,10,11,4,26,78,Coconut,Sandy,2.93
Kanniyakumari,35,48,46,38,6.9,38,62,1,0,15,7,0,34,51,Groundnut,Red Soil,0.84
Kanniyakumari,40,30,49,43,8.32,47,57,11,1,3,3,0,32,72,Guava,Black Soil,5.57
Kanniyakumari,46,35,45,32,6.61,50,76,0,4,7,13,11,34,61,Groundnut,Alluvial Soil,0.86
Kanniyakumari,31,33,40,45,6.71,45,64,0,3,0,12,4,28,69,Mango,Laterite Soil,5.16
Kanniyakumari,38,47,41,46,7.22,43,59,13,5,11,3,11,29,60,Guava,Peaty Soil,7.55
Karur,0,7,6,5,7.95,3,36,38,35,25,19,34,25,45,Coconut,Loamy,1.62
Karur,1,0,0,0,8.02,0,33,26,24,36,28,32,34,46,Coconut,Clay,1.64
Karur,1,0,0,0,7.91,0,39,33,25,23,19,30,34,75,Sugarcane,Sandy,22.86
Karur,0,0,9,0,7.2,3,33,19,30,33,37,23,25,46,Millet,Red Soil,0.61
Karur,7,0,0,0,7.94,0,39,24,32,19,24,30,32,64,Sugarcane,Black Soil,26.63
Karur,5,0,0,0,8.47,0,24,35,32,33,20,36,31,60,Mango,Alluvial Soil,3.48
Karur,1,2,0,0,6.7,2,26,22,33,20,36,28,30,70,Groundnut,Laterite Soil,0.55
Karur,1,0,0,0,8.32,1,22,35,18,22,34,26,27,60,Mango,Peaty Soil,3.11
Karur,6,9,0,0,6.81,7,36,29,24,24,23,38,32,57,Sugarcane,Loamy,29.35
Karur,6,8,1,0,8.12,0,32,38,23,32,18,38,28,77,Maize,Clay,1.17
Karur,1,6,0,6,7.39,0,37,28,30,26,25,37,35,65,Sugarcane,Sandy,25.03
Karur,1,9,0,0,6.81,0,25,30,32,34,31,27,26,50,Maize,Red Soil,1.33
Karur,0,0,0,0,7.53,7,31,35,32,31,35,28,27,76,Groundnut,Black Soil,0.5
Karur,6,9,0,5,7.11,0,37,29,21,26,28,21,30,71,Millet,Alluvial Soil,0.6
Karur,0,0,0,0,7.86,4,36,18,35,27,30,19,35,76,Maize,Laterite Soil,1.04
Karur,1,7,0,0,7.42,0,27,23,18,24,22,27,29,80,Guava,Peaty Soil,4.0
Karur,0,4,4,0,8.12,7,39,21,21,37,37,22,30,61,Rice,Loamy,2.09
Karur,2,0,3,0,7.52,0,36,37,37,37,38,33,25,74,Sugarcane,Clay,20.76
Karur,6,4,0,5,7.09,0,29,22,36,22,37,20,28,68,Rice,Sandy,2.08
Karur,9,5,5,8,7.01,0,22,21,22,26,26,19,30,68,Mango,Red Soil,3.78
Karur,0,4,3,2,8.13,0,32,34,19,31,28,24,26,53,Groundnut,Black Soil,0.5
Karur,0,5,9,6,7.74,0,21,35,34,20,33,27,35,77,Maize,Alluvial Soil,0.99
Karur,0,0,4,10,7.5,9,32,21,25,35,34,18,35,55,Coconut,Laterite Soil,1.83
Karur,4,0,0,5,7.99,0,39,25,27,38,36,21,34,63,Coconut,Peaty Soil,2.12
Karur,2,0,3,0,7.78,0,27,30,29,26,28,18,27,60,Coconut,Loamy,2.22
Karur,8,10,0,1,6.58,2,24,20,22,25,23,22,26,64,Groundnut,Clay,0.54
Karur,10,0,0,0,7.09,0,32,32,25,28,28,32,27,73,Coconut,Sandy,1.99
Karur,0,0,0,0,7.12,0,31,25,27,36,19,34,26,56,Maize,Red Soil,1.24
Karur,2,0,1,0,8.17,2,37,26,19,20,35,37,33,49,Rice,Black Soil,1.78
Karur,5,7,5,10,8.28,9,28,22,33,26,30,35,28,60,Millet,Alluvial Soil,0.65
Karur,3,3,2,0,7.12,3,30,37,20,21,29,28,27,54,Millet,Laterite Soil,0.72
Karur,0,1,2,0,7.74,0,40,29,36,25,19,19,27,59,Maize,Peaty Soil,1.2
Karur,4,0,6,3,7.62,1,30,38,32,21,23,36,33,70,Sugarcane,Loamy,21.79
Karur,9,10,4,2,7.53,8,30,19,25,32,24,22,31,61,Rice,Clay,2.04
Karur,0,8,0,0,7.96,0,20,35,31,35,25,30,34,67,Maize,Sandy,1.1
Karur,0,0,7,6,7.72,4,31,38,35,35,24,27,35,48,Groundnut,Red Soil,0.5
Karur,0,0,0,0,7.41,0,34,34,31,18,35,29,33,64,Maize,Black Soil,1.36
Karur,0,0,0,0,7.52,0,32,20,28,23,35,38,32,49,Groundnut,Alluvial Soil,0.53
Karur,9,0,0,8,8.29,0,22,33,38,29,19,18,35,65,Sugarcane,Laterite Soil,20.44
Karur,10,7,4,9,6.75,0,25,20,35,26,33,30,29,55,Coconut,Peaty Soil,2.17
Karur,0,2,1,0,8.17,0,35,26,26,30,35,38,29,77,Sugarcane,Loamy,23.13
Karur,8,0,0,0,6.55,0,20,33,25,28,32,23,27,60,Rice,Clay,1.91
Karur,0,0,9,6,7.89,0,38,33,31,28,20,21,26,72,Millet,Sandy,0.51
Karur,0,7,0,7,7.49,2,36,21,33,34,20,27,31,80,Rice,Red Soil,1.62
Karur,0,10,0,0,7.96,0,37,20,31,31,35,25,35,69,Guava,Black Soil,3.53
Karur,2,0,0,0,7.87,0,40,31,23,21,34,32,31,51,Maize,Alluvial Soil,1.3
Karur,8,0,4,4,7.62,5,39,38,35,26,20,20,30,60,Rice,Laterite Soil,2.01
Karur,0,0,4,6,7.04,0,40,29,21,26,37,24,30,72,Coconut,Peaty Soil,2.4
Karur,0,3,5,0,7.48,0,35,29,35,20,32,27,34,77,Sugarcane,Loamy,19.89
Karur,2,6,0,0,7.38,1,37,32,37,34,28,30,24,49,Rice,Clay,1.7
Karur,6,0,0,0,6.98,10,38,37,27,35,26,23,34,63,Sugarcane,Sandy,29.26
Karur,8,4,4,9,8.2,0,34,25,36,25,36,20,26,62,Guava,Red Soil,4.21
Karur,0,0,0,3,8.25,0,38,18,26,30,20,22,31,74,Maize,Black Soil,1.01
Karur,10,0,0,0,6.62,6,28,19,22,31,29,24,26,78,Rice,Alluvial Soil,1.54
Karur,4,7,9,5,6.73,0,28,19,18,25,23,28,28,53,Mango,Laterite Soil,3.27
Karur,1,0,0,0,7.31,2,34,22,22,36,24,38,28,69,Sugarcane,Peaty Soil,26.15
Karur,8,8,4,0,7.62,0,27,21,22,26,25,22,31,65,Rice,Loamy,1.96
Karur,9,2,3,0,7.46,10,26,37,24,37,32,30,31,75,Millet,Clay,0.55
Karur,6,10,0,0,8.36,0,20,38,28,25,35,30,32,49,Guava,Sandy,3.44
Karur,5,0,4,9,7.54,0,21,28,31,34,36,24,25,75,Rice,Red Soil,1.64
Karur,10,0,0,10,8.06,0,35,26,32,31,38,19,34,71,Mango,Black Soil,3.15
Karur,0,4,7,0,8.23,3,28,22,35,22,18,34,28,64,Sugarcane,Alluvial Soil,25.57
Karur,0,0,0,0,7.12,0,39,26,36,20,18,34,25,59,Mango,Laterite Soil,3.72
Karur,5,0,3,0,7.27,0,20,35,37,38,19,30,25,60,Guava,Peaty Soil,4.51
Krishnagiri,2,2,0,6,8.32,8,52,48,59,52,42,58,26,55,Guava,Loamy,3.58
Krishnagiri,0,0,0,0,8.47,0,51,56,58,57,53,44,33,55,Coconut,Clay,1.92
Krishnagiri,1,0,0,0,7.47,1,54,46,50,61,44,54,30,72,Rice,Sandy,1.76
Krishnagiri,0,7,0,0,6.52,0,55,55,58,43,49,45,27,80,Groundnut,Red Soil,0.5
Krishnagiri,0,11,0,10,8.2,8,60,50,59,53,49,49,35,47,Sugarcane,Black Soil,19.13
Krishnagiri,11,0,0,0,7.44,2,62,48,52,48,43,45,28,75,Coconut,Alluvial Soil,1.99
Krishnagiri,2,4,0,11,7.95,0,50,43,44,61,53,53,25,54,Groundnut,Laterite Soil,0.5
Krishnagiri,11,12,11,0,8.15,11,65,44,52,51,55,46,28,47,Groundnut,Peaty Soil,0.5
Krishnagiri,0,5,0,0,8.09,6,64,47,61,54,46,49,25,78,Maize,Loamy,1.04
Krishnagiri,2,0,3,0,8.25,3,53,50,49,44,46,54,34,71,Coconut,Clay,1.64
Krishnagiri,1,0,0,0,8.21,3,47,42,52,49,49,44,30,69,Sugarcane,Sandy,23.02
Krishnagiri,0,9,4,0,7.28,8,59,44,56,53,47,51,29,55,Sugarcane,Red Soil,29.28
Krishnagiri,9,0,0,0,8.41,0,52,44,55,58,48,47,30,67,Coconut,Black Soil,1.81
Krishnagiri,5,2,6,0,7.52,6,45,47,42,51,42,56,29,47,Sugarcane,Alluvial Soil,26.64
Krishnagiri,0,1,4,12,7.16,4,58,46,45,56,58,54,32,76,Mango,Laterite Soil,3.01
Krishnagiri,0,11,5,0,7.26,3,45,56,54,45,51,53,32,45,Maize,Peaty Soil,1.08
Krishnagiri,0,7,0,0,7.35,2,56,52,58,61,41,49,25,53,Mango,Loamy,2.92
Krishnagiri,0,0,2,7,6.69,0,56,51,43,55,59,56,33,67,Coconut,Clay,1.93
Krishnagiri,1,5,12,0,7.09,0,49,61,55,53,58,42,25,50,Sugarcane,Sandy,23.16
Krishnagiri,0,0,4,1,7.99,0,50,49,57,46,49,59,34,63,Sugarcane,Red Soil,22.15
Krishnagiri,6,0,2,6,6.78,0,54,58,57,50,53,46,26,73,Groundnut,Black Soil,0.5
Krishnagiri,0,2,2,9,7.56,8,62,46,43,47,43,61,29,78,Guava,Alluvial Soil,3.93
Krishnagiri,1,0,10,5,6.59,5,49,59,59,41,57,61,25,49,Rice,Laterite Soil,1.83
Krishnagiri,0,0,0,0,7.66,11,45,55,48,61,41,41,33,49,Mango,Peaty Soil,2.91
Krishnagiri,7,0,0,6,7.27,0,54,46,52,46,42,57,26,78,Coconut,Loamy,1.95
Krishnagiri,11,0,1,0,8.42,0,60,57,52,49,46,47,25,54,Mango,Clay,2.93
Krishnagiri,0,0,0,0,7.73,1,58,59,55,58,44,55,35,68,Groundnut,Sandy,0.5
Krishnagiri,0,0,0,12,8.31,1,45,45,50,54,43,44,32,61,Maize,Red Soil,1.24
Krishnagiri,7,0,0,8,7.18,5,57,45,42,55,56,50,29,64,Groundnut,Black Soil,0.6
Krishnagiri,8,1,11,6,6.86,9,60,47,54,53,43,42,29,46,Mango,Alluvial Soil,3.49
Krishnagiri,0,7,0,0,8.04,0,61,58,51,58,50,58,32,67,Guava,Laterite Soil,3.83
Krishnagiri,12,0,12,9,6.83,4,45,57,47,49,41,43,34,64,Mango,Peaty Soil,3.76
Krishnagiri,3,0,6,0,7.44,10,47,51,60,48,53,50,31,78,Millet,Loamy,0.55
Krishnagiri,7,0,4,0,8.28,2,48,51,43,41,47,51,30,68,Coconut,Clay,2.18
Krishnagiri,0,0,0,0,7.38,0,60,52,51,57,44,57,31,80,Groundnut,Sandy,0.5
Krishnagiri,9,0,0,12,7.95,0,53,61,41,47,53,57,24,58,Mango,Red Soil,3.16
Krishnagiri,7,1,0,6,6.71,5,51,46,56,43,43,54,34,59,Millet,Black Soil,0.68
Krishnagiri,0,1,0,0,7.94,0,56,45,58,49,50,59,29,80,Groundnut,Alluvial Soil,0.5
Krishnagiri,4,0,12,0,6.88,0,55,42,43,59,53,56,35,58,Rice,Laterite Soil,1.97
Krishnagiri,0,0,0,0,7.36,10,46,44,55,55,41,50,26,52,Rice,Peaty Soil,1.73
Krishnagiri,0,3,0,0,7.42,1,50,45,44,61,50,49,32,67,Millet,Loamy,0.67
Krishnagiri,1,4,0,11,7.92,11,62,45,61,41,47,47,35,76,Groundnut,Clay,0.5
Krishnagiri,9,0,8,9,6.7,4,48,58,44,55,54,47,27,46,Sugarcane,Sandy,25.42
Krishnagiri,2,0,5,8,7.56,6,49,55,48,52,60,61,24,62,Mango,Red Soil,3.02
Krishnagiri,0,0,0,0,7.44,4,61,58,59,48,48,52,31,48,Rice,Black Soil,1.68
Krishnagiri,12,0,11,2,7.12,4,50,50,56,58,51,50,34,70,Mango,Alluvial Soil,3.47
Krishnagiri,0,0,0,0,6.82,3,56,47,45,52,44,43,24,71,Groundnut,Laterite Soil,0.5
Krishnagiri,6,0,0,4,6.56,9,48,55,48,44,53,48,33,73,Maize,Peaty Soil,1.1
Krishnagiri,0,1,12,5,7.7,9,48,42,49,53,46,41,33,79,Maize,Loamy,1.12
Krishnagiri,5,0,0,4,7.98,0,47,42,44,54,48,51,34,77,Guava,Clay,3.33
Krishnagiri,1,0,9,5,7.67,0,56,44,49,58,60,42,24,46,Groundnut,Sandy,0.5
Krishnagiri,0,9,1,5,6.72,0,58,53,58,53,48,56,34,75,Groundnut,Red Soil,0.5
Krishnagiri,0,0,0,0,7.39,0,51,52,50,48,41,61,26,45,Groundnut,Black Soil,0.5
Krishnagiri,4,2,6,0,6.57,8,52,42,52,61,61,42,24,71,Mango,Alluvial Soil,2.73
Krishnagiri,0,5,0,9,7.76,0,62,59,58,60,49,54,28,75,Rice,Laterite Soil,1.64
Krishnagiri,8,5,0,0,8.27,0,51,55,43,59,59,52,35,64,Rice,Peaty Soil,1.63
Krishnagiri,11,11,6,0,8.33,4,61,58,60,53,58,42,33,78,Coconut,Loamy,1.59
Krishnagiri,11,0,5,3,6.82,3,55,44,45,42,60,60,26,76,Sugarcane,Clay,24.69
Krishnagiri,7,5,0,10,8.23,5,57,54,43,45,48,55,34,54,Rice,Sandy,1.55
Krishnagiri,0,0,0,1,8.38,0,45,46,56,58,58,48,25,74,Guava,Red Soil,3.37
Krishnagiri,0,0,0,11,7.55,3,54,52,52,42,54,61,28,46,Millet,Black Soil,0.61
Krishnagiri,4,0,0,0,7.87,3,48,59,56,41,50,61,30,60,Mango,Alluvial Soil,3.74
Krishnagiri,2,9,11,0,7.06,5,61,42,49,55,43,49,35,60,Sugarcane,Laterite Soil,27.34
Krishnagiri,0,0,0,8,6.87,0,51,47,51,60,52,48,33,64,Coconut,Peaty Soil,2.38
Madurai,22,38,33,39,7.71,26,46,26,39,27,28,27,29,61,Millet,Loamy,0.91
Madurai,34,35,21,28,7.57,33,61,38,38,44,41,34,29,70,Rice,Clay,2.07
Madurai,35,25,27,36,7.82,29,61,44,25,32,41,41,29,45,Sugarcane,Sandy,27.46
Madurai,31,39,31,21,8.43,22,54,33,40,36,24,42,24,75,Coconut,Red Soil,2.22
Madurai,35,35,35,39,8.25,28,63,32,25,24,34,30,26,62,Maize,Black Soil,1.49
Madurai,31,24,24,29,8.14,32,45,27,40,36,33,40,29,56,Rice,Alluvial Soil,2.15
Madurai,25,37,38,40,7.99,27,53,40,25,25,36,32,34,59,Coconut,Laterite Soil,2.93
Madurai,36,24,30,25,6.64,33,46,40,31,27,28,31,25,77,Mango,Peaty Soil,3.3
Madurai,39,21,30,27,7.84,26,53,24,31,39,29,26,33,48,Sugarcane,Loamy,27.33
